Date,Price,Open,High,Low,Change%
02-08-2021,7.0671,7.0601,7.1256,7.0237,0.26%
02-05-2021,7.0488,7.1373,7.1491,7.0289,-1.18%
02-04-2021,7.1333,7.1624,7.1836,7.0952,-0.33%
02-03-2021,7.1570,7.1967,7.2058,7.1198,-0.48%
02-02-2021,7.1917,7.1920,7.2042,7.0851,0.05%
02-01-2021,7.1883,7.3151,7.3177,7.1557,-1.66%
01-29-2021,7.3099,7.3430,7.3910,7.2695,-0.31%
01-28-2021,7.3324,7.3955,7.4365,7.3262,-0.80%
01-27-2021,7.3918,7.3464,7.4166,7.3355,0.67%
01-26-2021,7.3429,7.4065,7.4376,7.3290,-0.83%
01-25-2021,7.4040,7.4147,7.4309,7.3624,-0.09%
01-22-2021,7.4106,7.3684,7.4460,7.3643,0.64%
01-21-2021,7.3636,7.4201,7.4292,7.3440,-0.72%
01-20-2021,7.4169,7.4770,7.4888,7.3846,-0.70%
01-19-2021,7.4691,7.4818,7.4914,7.4132,-0.10%
01-18-2021,7.4768,7.4729,7.5458,7.4551,0.05%
01-15-2021,7.4733,7.3615,7.5178,7.3495,1.40%
01-14-2021,7.3699,7.4014,7.4640,7.3494,-0.32%
01-13-2021,7.3934,7.4530,7.4776,7.3861,-0.74%
01-12-2021,7.4482,7.4791,7.5248,7.4194,-0.34%
01-11-2021,7.4733,7.3636,7.5321,7.3584,1.38%
01-08-2021,7.3713,7.3198,7.4194,7.3045,0.77%
01-07-2021,7.3149,7.3067,7.3955,7.2372,0.14%
01-06-2021,7.3047,7.3893,7.3973,7.2663,-1.10%
01-05-2021,7.3856,7.4263,7.4382,7.3591,-0.46%
01-04-2021,7.4198,7.4403,7.4470,7.3393,-0.26%
01-01-2021,7.4392,7.4392,7.4392,7.4392,0.00%
12-31-2020,7.4392,7.3810,7.4928,7.3461,0.84%
12-30-2020,7.3774,7.3865,7.3993,7.3030,-0.06%
12-29-2020,7.3815,7.4466,7.4804,7.3376,-0.81%
12-28-2020,7.4416,7.5716,7.5756,7.4035,-1.40%
12-25-2020,7.5470,7.5801,7.6016,7.5305,-0.37%
12-24-2020,7.5747,7.6398,7.6757,7.5460,-0.80%
12-23-2020,7.6361,7.6632,7.6711,7.6140,-0.27%
12-22-2020,7.6570,7.6506,7.6786,7.6129,0.10%
12-21-2020,7.6491,7.6310,7.7376,7.6234,0.33%
12-18-2020,7.6239,7.7009,7.7607,7.6122,-0.94%
12-17-2020,7.6959,7.7999,7.8097,7.6896,-1.27%
12-16-2020,7.7949,7.8440,7.8492,7.7573,-0.45%
12-15-2020,7.8300,7.8534,7.8734,7.8113,-0.23%
12-14-2020,7.8483,7.8601,7.9392,7.8234,-0.10%
12-11-2020,7.8562,7.8841,8.0347,7.8149,-0.38%
12-10-2020,7.8864,7.8263,7.9256,7.8163,0.91%
12-09-2020,7.8156,7.8155,7.8524,7.7888,0.13%
12-08-2020,7.8055,7.8007,7.8529,7.7865,0.11%
12-07-2020,7.7973,7.8029,7.8774,7.7958,-0.01%
12-04-2020,7.7981,7.7739,7.8498,7.7477,0.41%
12-03-2020,7.7665,7.8524,7.9250,7.7497,-1.07%
12-02-2020,7.8502,7.8290,7.8836,7.7717,0.32%
12-01-2020,7.8248,7.8328,7.9213,7.7961,-0.05%
11-30-2020,7.8284,7.8353,7.8653,7.7424,-0.06%
11-27-2020,7.8332,7.8695,7.8952,7.7613,-0.46%
11-26-2020,7.8691,7.9311,7.9735,7.8456,-0.76%
11-25-2020,7.9297,8.0022,8.0171,7.9051,-0.86%
11-24-2020,7.9982,7.8848,8.0530,7.8295,1.49%
11-23-2020,7.8810,7.6400,7.9569,7.6349,3.26%
11-20-2020,7.6323,7.5529,7.7055,7.5258,1.08%
11-19-2020,7.5507,7.7060,7.7431,7.5035,-1.99%
11-18-2020,7.7040,7.7002,7.7914,7.6700,0.10%
11-17-2020,7.6962,7.7015,7.8061,7.6603,-0.02%
11-16-2020,7.6976,7.6612,7.7680,7.5920,0.49%
11-13-2020,7.6602,7.6899,7.7583,7.5936,-0.35%
11-12-2020,7.6869,7.7996,7.8997,7.6547,-1.41%
11-11-2020,7.7966,8.1452,8.2041,7.7832,-4.27%
11-10-2020,8.1446,8.0660,8.3819,8.0510,1.01%
11-09-2020,8.0634,8.4316,8.4543,7.9887,-5.36%
11-06-2020,8.5200,8.4220,8.5876,8.3993,1.19%
11-05-2020,8.4202,8.4262,8.4859,8.4023,-0.06%
11-04-2020,8.4251,8.4041,8.5320,8.3827,0.28%
11-03-2020,8.4016,8.4221,8.5471,8.3924,-0.21%
11-02-2020,8.4190,8.3467,8.4486,8.3401,0.89%
10-30-2020,8.3448,8.2922,8.3899,8.2674,0.68%
10-29-2020,8.2881,8.2576,8.3315,8.2568,0.39%
10-28-2020,8.2559,8.1853,8.3244,8.1827,0.86%
10-27-2020,8.1854,8.0837,8.1989,8.0815,1.31%
10-26-2020,8.0797,7.9645,8.0995,7.9585,1.49%
10-23-2020,7.9610,7.9351,7.9833,7.9145,0.35%
10-22-2020,7.9329,7.8125,7.9880,7.7792,1.60%
10-21-2020,7.8081,7.8663,7.8847,7.7880,-0.67%
10-20-2020,7.8609,7.8837,7.9109,7.8542,-0.24%
10-19-2020,7.8797,7.9353,7.9416,7.8691,-0.64%
10-16-2020,7.9304,7.9356,7.9599,7.8856,-0.01%
10-15-2020,7.9310,7.9118,7.9538,7.9059,0.29%
10-14-2020,7.9084,7.9167,7.9612,7.8970,-0.08%
10-13-2020,7.9146,7.8900,7.9324,7.8738,0.34%
10-12-2020,7.8879,7.8602,7.9157,7.8510,0.40%
10-09-2020,7.8566,7.9447,7.9591,7.8372,-1.06%
10-08-2020,7.9406,7.8847,7.9485,7.8741,0.76%
10-07-2020,7.8808,7.7993,7.8967,7.7821,1.13%
10-06-2020,7.7931,7.7639,7.8084,7.7411,0.43%
10-05-2020,7.7599,7.7714,7.7906,7.7206,-0.14%
10-02-2020,7.7708,7.7498,7.7931,7.7066,0.27%
10-01-2020,7.7500,7.7187,7.7880,7.6219,0.44%
09-30-2020,7.7157,7.8189,7.8400,7.6969,-1.26%
09-29-2020,7.8139,7.8044,7.8669,7.7590,0.15%
09-28-2020,7.8024,7.6648,7.8409,7.6531,1.85%
09-25-2020,7.6607,7.6228,7.6865,7.4915,0.51%
09-24-2020,7.6216,7.7005,7.7228,7.5380,-0.98%
09-23-2020,7.6967,7.6658,7.7137,7.6424,0.45%
09-22-2020,7.6619,7.6318,7.6751,7.6118,0.42%
09-21-2020,7.6299,7.5608,7.6439,7.5387,0.97%
09-18-2020,7.5563,7.5503,7.5932,7.5240,0.13%
09-17-2020,7.5464,7.5052,7.5663,7.4825,0.55%
09-16-2020,7.5054,7.4892,7.5182,7.4640,0.27%
09-15-2020,7.4854,7.4879,7.5022,7.4548,0.02%
09-14-2020,7.4840,7.4720,7.5038,7.4590,0.16%
